"Age","Area #","Baths Full","Baths Half","Beds Total","Cooling","County","Current Price","DOM","Elementary School District","Elementary School District Code","Fireplace YN","Foundation","Garage Spaces","Heating","High School District","High School District ID","HOA Exist YN","Latitude","List Price","Listing Date","Longitude","Lot Size","Lot Size Area Min Units","MLS Number","New Construction YN","No Of Stories","Parcel Number","Parking Features","Pool YN","Postal City","Property Sub Type","Property Type","Public Remarks","Roof","Sale Date","Sale Price","Sewer Septic","Sq Ft Total","State","Status","Street Address (Full)","Table","Utilities","Walk Score","Water","Year Built","Zip Code","Zoning"
"49","362","2","0","3","None","San Mateo","$1,790,000","12","Belmont-Redwood Shores Elementary","921","Yes","Concrete Block, Concrete Perimeter","2","Forced Air","Sequoia Union High","940","No","37.523464","$1,349,000","03/03/2017","-122.287668","6,624","Sqft","ML81640950","No","","044-132-040","Attached","No","Belmont","Res. Single Family","Residential","Located in the desirable Belmont Country Club area this 3 bedroom and 2 bath home has an open floor-plan for today's style of living and entertaining. Light-filled living room has wood burning fireplace and a wall of glass with amazing views. Dining room has sliding glass doors that take you out to a deck that wraps around the back of the home. Beautiful Hardwood floors. Large bonus room downstairs just waiting for your family gatherings. Storage galore! Extended driveway to accommodate extra vehicles.","Composition, Shingle","03/14/2017","$1,790,000","Sewer - Public","1,620","California","Sold","1508 Winding WAY ","Residential","Public","68","Public","1968","94002","R10006"
"20","613","4","0","5","Ceiling Fan","San Mateo","$1,790,000","5","Cabrillo Unified","924","Yes","Concrete Perimeter","3","Central Forced Air - Gas, Radiant Floors","Cabrillo Unified","924","No","37.498134","$1,790,000","03/31/2017","-122.458131","8,800","Sqft","ML81644818","No","2","048-025-350","Attached, Gate/Door Opener","No","Half Moon Bay","Res. Single Family","Residential","Experience the heart of Coastal living in this desirable Miramar neighborhood, just a short distance from Quarry Park hiking trails, schools, Pillar Pt. Harbor & restaurants!  This stunning Mediterranean 5 Bed, 4 Bath, 3300+/- sqft home features a grand entry & a reverse floor plan w/filtered ocean views from upper level.  The gourmet kitchen opens to view balcony, and includes a 6-burner Thermador cooktop, built-in oven, Sub-Zero refrigerator & walk-in pantry.  The spacious Master bedroom has high ceilings, lots of light & radiant heated floors in the bathroom.  Upper level has new maple hardwood floors, fresh paint & new carpets.  Lower level has a large den/office w/built-in bookcases, Media/Rec. room, & 2 additional bedrooms, one an ensuite. The landscaped backyard has a patio, hot tub, trampoline & outdoor shower.  Additional features: Nest thermostats, Nest Protects, high-efficiency furnaces, tankless water heater, a Rachio smart WiFi Sprinkler controller & spacious 3-car garage.","Tile","04/03/2017","","Sewer - Public","3,330","California","Contingent","402 Coronado AVE ","Residential","Public","21","Public","1997","94019","R10006"
"67","19","2","0","3","Central Forced Air - Gas, Other","Santa Clara","$1,789,000","16","Santa Clara Unified","483","Yes","Concrete Slab","2","Central Forced Air, Fireplace","Santa Clara Unified","483","No","37.347678","$1,789,000","03/22/2017","-122.010377","9,300","Sqft","ML81643433","No","2","313-14-039","Attached, Gate/Door Opener, Guest / Visitor Parking, Off-Street Parking, Room for Oversized Vehicle, Tandem Parking","No","Sunnyvale","Res. Single Family","Residential","Pride of Ownership not a cliche here!...Custom 2-story Raynor Park home surrounded by a large lot. Visitors will find generous seating in a more than ample Kitchen where spills are not a problem on Italian tile plank flooring.  Great Office. Cozy Family Room. Enormous Master Suite. Long  upstairs attics flank the master and a Balcony offers private sunset views. 2 large children's bedrooms.  Covered front porch addition with handsome Brazilian Ipe wood decking for long-term wear. Tandem garage.  Cobblestone drive and inviting walkway through  cottage garden planted with perennials. New Roof.  Rambling backyard with lots of room for children's games. Gazebo shaded dining,  Space for RV or boat parking.  One block to Full Circle Community Garden. A Hop and a Skip to Apple HQ.  Looking forward to introducing you to your new country-modern home in the city. Offers April 5. Disclosures Available on line.","Composition","04/07/2017","","Sewer - Public, Sewer Connected","2,344","California","Pending","1425 Norman DR ","Residential","Public","65","Public","1950","94087","R1AB"
"71","332","4","1","6","Central Forced Air","San Mateo","$1,788,888","56","Redwood City Elementary","935","Yes","Concrete Block","1","Central Forced Air","Sequoia Union High","940","No","37.447529","$1,788,888","02/03/2017","-122.231873","11,600","Sqft","ML81637762","No","1","069-231-210","Covered Parking, Detached, Parking Area","No","Redwood City","Res. Single Family","Residential","","Wood Shakes/Shingles","","","Community Sewer/Septic","2,540","California","Withdrawn","2155 Woodside RD ","Residential","Available - Not On Site","37","Water On Site","1946","94062","R10010"
"32","6","4","0","6","Ceiling Fan, Central Forced Air","Santa Clara","$1,788,888","4","Milpitas Unified","479","Yes","Crawl Space","3","Central Forced Air - Gas","Milpitas Unified","479","No","37.452223","$1,788,888","04/03/2017","-121.890610","17,160","Sqft","ML81645212","No","2","029-50-029","Attached","No","Milpitas","Res. Single Family","Residential","Prepare to be impressed w/ this gorgeous remodeled 6 bed, 4 bath, 3,700+ sf Milpitas home w/ TOP schools [Pomeroy (9), Russell (9), Milpitas High(10)]. Exquisite styling & attention to detail abound in this recently updated home, featuring gleaming hardwood floors in living, dining & family rooms. New porcelain tile in the formal entry, kitchen, dwnstrs hall & bath. The huge kitchen features gorgeous cabinetry, island, granite counters, LED lighting, Viking appliances, & plenty of natural light. Open beam vaulted ceilings in the living room and oversized master bedroom. Elegant designer paint gives home a contemporary feel. Spiral staircase leads to 5 upstairs bedrooms, perfect for multi-generational families. Master bath features separate shower & jetted tub. Updated baths w/quartz counters. Large sunroom off family room. Big back yard is ideal for entertaining. Great commute location, close to shopping, minutes from Great Mall, less than 3/4 mile to schools. Open Sat/Sun.","Tile","","","Sewer - Public","3,722","California","Active","1156 N Park Victoria DR ","Residential","Public","38","Public","1985","95035","R1"
"58","351","2","0","4","None","San Mateo","$1,785,000","11","San Carlos Elementary","937","Yes","Concrete Perimeter and Slab","2","Forced Air, Gas","Sequoia Union High","940","No","37.489410","$1,539,000","02/24/2017","-122.270088","8,400","Sqft","ML81639516","No","2","050-201-260","Attached, Gate/Door Opener, Workshop in Garage","No","San Carlos","Res. Single Family","Residential","Beautifully updated 4 bedroom split level home has been lovingly cared for and in the same family for 57 years.  There is a large concrete paver patio in the huge backyard with room for the kids to roam or, create your very own garden of Eden.  Living/dining/entry have refinished hardwood floors leading into the family room & tastefully updated kitchen with Oak cabinets, stainless steel appliances including Thermador gas range and double electric oven and Tile counter tops.  Living room has a wall of windows bringing in loads of light.  Dual fireplaces in the living and family room.  Garage has workshop space plus a huge storage area. Located on a quiet cul-de-sac with little traffic in one of San Carlos best areas.  Views of the neighborhood, Stanford Hoover Tower and more.  Hiking trails, Heather School and Highland Park are nearby.  One of very few 4 bedroom homes available in San Carlos, ""City of Good Living"".","Composition","03/06/2017","$1,785,000","Sewer - Public","1,800","California","Sold","2711 San Miguel WAY ","Residential","Public","11","Public","1959","94070","R1"
"24","23","4","2","4","Central Forced Air - Gas, Multi-Zone","Santa Clara","$1,785,000","3","Loma Prieta Joint Union Elementary","459","Yes","Post & Pier","3","Central Forced Air","Los Gatos-Saratoga Joint Union High","476","No","37.112144","$1,785,000","04/04/2017","-121.936209","89,734","Sqft","ML81645237","No","2","096-221-44-000","Attached, Guest / Visitor Parking, Room for Oversized Vehicle","No","Los Gatos","Res. Single Family","Residential","SPECTACULAR GATED COMPLETELY PRIVATE NEWER CUSTOM BUILT ESTATE HOME WITH UNOBSTRUCTED EXPANSIVE VIEWS! PRIME LOCATION JUST MINUTES TO DOWNTOWN LOS GATOS! AROUND THE CORNER TO SUMMIT GROCERY STORE AND HIGHWAY 17! PRIVATE, QUIET, PEACEFUL LIFESTYLE! FLOWING OPEN FLOOR PLAN! SPACIOUS SUN DRENCHED ROOMS! MINUTES TO THE OCEAN AND COASTAL  BEACHES! CUSTOM LUXURY FINISHES THROUGHOUT! GOURMET KITCHEN WITH COMMERCIAL GRADE APPLIANCES! HUGE BRIGHT GREAT ROOM WITH HUGE PICTURE WINDOW VIEWS! FORMAL DINING ROOM WITH THE MOST BEAUTIFUL VIEWS! OVERSIZED FAMILY ROOM! GRAND MASTER SUITE WITH BEAUTIFUL DESIGNER MASTER BATH! ULTRA HIGH CEILINGS! SEPARATE GUEST/IN LAW GRAND SUITE! PRIVATE QUIET BACKYARD WITH THE MOST BREATHTAKING VIEWS EVER! AWARD WINNING LOS GATOS SCHOOLS! MINUTES TO DOWN TOWN LOS GATOS, NETFLIX AND SILICON VALLEY! MUST SEE!","Tile","","","Existing Septic","5,000","California","Active","54 OLD ORCHARD RD ","Residential","Propane On Site, Public","1","Water On Site, Well","1993","95033","RA"
"51","273","2","0","3","Central Forced Air","San Mateo","$1,782,000","31","Cabrillo Unified","924","Yes","Concrete Perimeter","2","Central Forced Air","Cabrillo Unified","924","No","37.447895","$1,782,000","03/07/2017","-122.336217","48,142","Sqft","ML81641420","No","1","067-230-290","Attached, Gate/Door Opener, Parking Area","No","Woodside","Res. Single Family","Residential","It's love at first sight on Kings Mountain. Hop on your bike, take a mountain spin...and retreat to luxury when the day is done. This gorgeous home has a coveted, all-on-one-level floor plan. It features: stunning gourmet kitchen; beautiful wood flooring; dramatic open floor plan; in-door-out-door living; two fireplaces; lush garden views; decks; hot tub; patios; gated privacy; 2-car garage plus paved parking galore. The spacious separate den with private deck can be used as an office, media room, guest room - or combo. This home oozes with relaxed elegance and pride of ownership. Simply an irresistible way to live on the mountain. In the lap of luxury surrounded by nature. Beautiful Half Moon Bay beaches and surfing are 15 minutes away. From your door, you can hike an 8 mile loop to Skeggs Point without getting in your car. Black sky at night, and only a stone's throw away from civilization. Hurry over!","Composition, Shingle","","","Septic Tank/Pump","2,681","California","Active","13250 Skyline BLVD ","Residential","Propane On Site","1","Public","1966","94062","R1"
"47","391","2","0","4","Ceiling Fan, Central Forced Air","San Mateo","$1,780,000","12","San Mateo-Foster City Elementary","938","Yes","Concrete Perimeter and Slab","2","Central Forced Air","San Mateo Union High","939","No","37.544468","$1,575,000","02/23/2017","-122.274120","6,450","Sqft","ML81639930","No","1","094-542-230","Attached","No","Foster City","Res. Single Family","Residential","Beautifully updated home in one of Foster City's most desirable neighborhoods! The formal living room and dining room boast vaulted ceilings for a feeling of space and elegance. Remodeled, gourmet kitchen with cherrywood cabinetry, granite countertops, stainless steel appliances, and slate tile flooring. The family room features vaulted ceilings and a wood burning fireplace, overlooking the eat-in kitchen. The oversized master bedroom is an ideal setting for your own personal retreat and features a walk-in closet. The spacious backyard host an abundance of fruit trees and an expansive side yard, perfect for gatherings, play, or an extended garden. The home is equipped with solar energy panels and A/C for maximum comfort and energy efficiency.  Just steps to Boothbay Park, Edgewater Shopping Center with waterfront dining, Foster City Elementary School, and public transportation. In 2016, Foster City was listed as the 8th Safest City in California and 63rd Safest City in America!","Composition","03/07/2017","$1,780,000","Sewer - Public","1,800","California","Sold","917 Laguna CIR ","Residential","Public, Solar","60","Public","1970","94404","R10006"
"62","336","2","0","4","Central Forced Air","San Mateo","$1,775,000","7","Redwood City Elementary","935","Yes","Concrete Perimeter","2","Central Forced Air - Gas","Sequoia Union High","940","No","37.469135","$1,630,000","03/03/2017","-122.254624","7,500","Sqft","ML81640999","No","1","057-281-080","Off-Street Parking","Yes","Redwood City","Res. Single Family","Residential","This is truly an amazing home...completely updated in 2005, you will love all the attention to detail.  Vaulted ceilings in the Great room area where the kitchen meets the living area with ideal access to the rear yard...perfect for California entertaining poolside!  Granite kitchen, recessed lighting, fireplace with insert, huge master suite with walk in closet, coffered ceiling, jetted tub in addition to large stall shower with a steam feature.  Separate laundry room with so much storage, it is used as a pantry! Detached cottage in the rear, ideal for overflow guests or a pool house.  The peacefulness and serenity of the yard with the water feature fountains and pond provide a wonderful zen setting.  Enjoy the summer days lounging by the pool!  All situated in a wonderful location of Redwood City on a level lot and walking distance to Garrett Park.","Composition","03/10/2017","$1,775,000","Sewer - Public","1,835","California","Sold","807 Bain PL ","Residential","Public","51","Public","1955","94062","R10006"
"53","352","2","0","3","Ceiling Fan, Central Forced Air","San Mateo","$1,775,000","8","San Carlos Elementary","937","Yes","Concrete Perimeter","2","Central Forced Air - Gas","Sequoia Union High","940","No","37.488425","$1,550,000","03/10/2017","-122.261569","7,500","Sqft","ML81641930","No","1","051-225-110","Attached, Off-Street Parking, On Street","No","San Carlos","Res. Single Family","Residential","Desirable White Oaks!  Spacious traditional ranch style 3 bedroom 2 bathroom home offers ~1790 SF of living space with a rare large ~7500 SF flat lot. Enjoy this floor plan with an ideal lay out for entertaining plus two fireplaces. An inviting family room is the perfect space for summer parties  Living room access to backyard and outdoor dining patio. Master ensuite with double closets.  Hardwood floors.  Top rated San Carlos schools.","Composition","03/18/2017","$1,775,000","Sewer - Public","1,790","California","Sold","113 Oakview DR ","Residential","Public","21","Public","1964","94070","R10006"
"30","1","3","1","4","Ceiling Fan, Central Forced Air","Santa Clara","$1,774,987","2","Morgan Hill Unified","480","Yes","Concrete Perimeter, Crawl Space","3","Central Forced Air - Gas, Heating - 2+ Zones, Propane","Morgan Hill Unified","480","No","37.106705","$1,774,987","04/05/2017","-121.686447","498,762","Sqft","ML81645454","No","2","776-27-061","Attached, Gate/Door Opener, Parking Area","No","Morgan Hill","Res. Single Family","Residential","Beautiful Tuscan executive custom home located in sought-after Paradise Valley on 11+ acres.  Stunning gourmet kitchen/family room, formal living room and dining. This home has every amenity possible including views, privacy, outdoor entertainment area (BBQ, fireplace, 10-person spa, waterfall, 3 seating areas), office, game room with bar & refrigerator and amazing gorgeous master suite with fireplace and sitting area.  Room to build 2nd garage/shop outside fenced yard.  View amazing wildlife daily.  You won't find these amenities for this price!  (Not a horse property.)  For exterior drone views of house and property go to: https://www.youtube.com/watch?v=ADkp9CRYAdg","Tile","","","Existing Septic","4,237","California","Active","2215 Louis Holstrom DR ","Residential","Individual Electric Meters, Individual Gas Meters, Propane On Site","0","Private/Mutual, Well","1987","95037","HS"
"54","19","2","0","4","Central Forced Air","Santa Clara","$1,768,888","2","Sunnyvale","470","Yes","Post & Pier","2","Central Forced Air - Gas","Fremont Union High","475","No","37.357569","$1,768,888","04/05/2017","-122.060647","9,196","Sqft","ML81645438","No","1","202-39-016","Attached","No","Sunnyvale","Res. Single Family","Residential","Welcome to this gorgeous Sunnyvale home located in the Cherryhill Neighborhood. First time going on market. This home boasts 4 bedrooms and 2 bathrooms throughout approximately 1,926 square feet of living space, all set on a spacious 9,196 square foot lot. Close to parks, shopping centers, highways 280 and 85. Great nearby schools include Cherry Chase Elementary, Sunnyvale Middle and Homestead High. Minutes to Apple, Yahoo, LinkedIn, Intel, Google, Facebook, Dell, Netflix, & other Tech Headquarters. Don't miss out on this fantastic opportunity!!","Composition","","","Sewer in Street","1,926","California","Active","1137 Robin WAY ","Residential","Public","24","Public","1963","94087","R1"
"4","19","2","1","3","Central Forced Air","Santa Clara","$1,766,000","8","Cupertino Union","455","No","Concrete Perimeter","2","Central Forced Air - Gas","Fremont Union High","475","Yes","37.350684","$1,498,000","02/21/2017","-122.031025","3,093","Sqft","ML81639544","No","2","309-56-014","Attached","No","Sunnyvale","Res. Single Family","Residential","Former model home. designer colors, upgraded floorings, upgraded light fixtures and window coverings, etc. floor to ceiling mirror stays. High ceilings in living room, open & bright! opens to kitchen with granite tops and custom cabinets. half bath on ground floor. Upstairs with 3 bedrooms and 2 baths, including a spacious master suite with views of the hills. Award winning Cupertino schools. Near Apple new campus, walking distance to shopping and restaurants. Excellent location, quiet, with plenty of guest parking.","Tile","03/01/2017","$1,766,000","Sewer - Public","1,682","California","Sold","137 Avon TER ","Residential","Public","61","Public","2013","94087","R1"
"55","361","3","1","4","None","San Mateo","$1,758,000","11","Belmont-Redwood Shores Elementary","921","Yes","Concrete Perimeter and Slab","2","Central Forced Air","Sequoia Union High","940","No","37.512511","$1,758,000","03/27/2017","-122.317480","4,500","Sqft","ML81643995","No","1","043-114-260","Attached","No","Belmont","Res. Single Family","Residential","Located in the beautiful Belmont Hills! This is an extraordinary opportunity to own this exceptionally remodeled home on one of the best streets in town! Enjoy plenty of space in this 4 bedroom, 3.5 bath upgraded masterpiece. This gorgeous layout includes a second level master suite with a stunning walk-in closet, a his and hers master bath, and sauna. Additional features include a superior quality kitchen, perfect for entertainment with high end amenities and custom hand-wooden features throughout. Do not miss out on this stunning home!","Shingle","04/06/2017","","Sewer in Street","2,090","California","Pending","3418 Lodge DR ","Residential","Public","11","Public","1962","94002","R10006"
"0","3","4","1","4","Ceiling Fan, Central Forced Air","Santa Clara","$1,755,000","75","Evergreen Elementary","456","Yes","Concrete Slab, Wood Frame","3","Central Forced Air","East Side Union High","474","Yes","37.270715","$1,898,888","10/21/2016","-121.740123","30,840","Sqft","ML81629418","Yes","2","660-58-007","Attached","No","San Jose","Res. Single Family","Residential","Make This House Your Home!  The Red Carpet Worthy living space headliner is our Kitchen, where you’ll find the Awe-Inspiring island takes center stage.  Whether you’re cooking for 1 or entertaining for 30, you and your guests will appreciate the efficient workspace combined with refined amenities.  The Family Room is conveniently located nearby, for family or guests, and offers a seamless transition between modern design and traditional flair.  The Master Suite is next on our list of Star-Power, with attention to details apparent throughout!  Tray ceiling, 9” baseboards, Customized Curio Cabinets, Pebble Tile Shower Floors, Over-Sized Closet, Tub for Two and more reasons to never want to leave your Bedroom!  Supporting Cast includes the First Floor Guest Suite and Architectural Features throughout…High Ceilings with Arched Details, Art Galleries Niches for that special Collection, 8’ Detailed and Paneled interior doors, and enough texture and variety to distinguish each Personal Bath!","Tile","01/01/2017","$1,755,000","Sewer - Public, Sewer Connected","4,125","California","Sold","2622 San Felipe CT ","Residential","Public","0","Public","2016","95135","Res"
"68","15","3","0","3","None","Santa Clara","$1,750,000","122","Campbell Union Elementary","454","Yes","Crawl Space","2","Central Forced Air - Gas","Campbell Union High","473","No","37.281381","$1,750,000","12/02/2016","-121.950633","16,384","Sqft","ML81633125","No","1","305-34-031A","Detached","No","Campbell","Res. Single Family","Residential","***Approved Tentative map for two lot splits by the City Council, *** Top Notch Location*** Close to Downtown Campbell, Safeway Shopping Center, Coffee Shop, Haleh Bakery, Netflix, Easy Access to highway 85 & San Thomas Expwy, Next to the future brand new retails and condominiums. Fabulous tree lined street with ranch homes sitting on huge lots. Zoning R-1-6.","Shingle","","","Sewer - Public","1,927","California","Canceled","44 El Caminito AVE ","Residential","Public","81","Public","1948","95008","R-1-6"
"62","363","2","0","3","Whole House Fan","San Mateo","$1,750,000","7","Belmont-Redwood Shores Elementary","921","Yes","Concrete Perimeter","2","Central Forced Air - Gas","Sequoia Union High","940","No","37.510042","$1,388,000","03/10/2017","-122.290838","9,300","Sqft","ML81641821","No","","045-082-040","Attached","No","Belmont","Res. Single Family","Residential","First time on market in over 33 years! Gorgeous home on a quiet street in one of Belmont's most sought after neighborhoods! Expansive 9,300+/- square foot lot provides a serene, park like setting including deck with hot tub and views of the canyon, pavered patio area with basketball hoop, lawn area, and charming stone steps to an outdoor studio (or home office). Lots of natural light in the updated and open kitchen. Spacious living/dining room with hardwood floor and French doors to the backyard - perfect for entertaining. Over-sized (710 square foot) 2 car garage offers plenty of room for workshop or storage. Convenient location near Carlmont Village shops/restaurants plus easy access to highways 92, 101 & 280. Outstanding Belmont schools too!","Composition","03/16/2017","$1,750,000","Sewer - Public","1,335","California","Sold","1124 Alomar WAY ","Residential","Public","73","Public","1955","94002","R10006"
"57","485","3","0","4","None","San Mateo","$1,750,000","21","Millbrae Elementary","932","Yes","Other","2","Central Forced Air - Gas","San Mateo Union High","939","No","37.597809","$1,750,000","03/17/2017","-122.415265","38,961","Sqft","ML81642808","No","1","021-242-410","Attached","No","Millbrae","Res. Single Family","Residential","Beautiful and spacious. Newly renovated home on a large gorgeous lot. 4BR, 3BA, LR/DR, 2 car garage and 2 mstr BR suites. Tastefully designed master bath w/seamless stall shower, tub, soft-close drawers beneath the dbl sink vanity. 3 baths w/ auto lights. Chef's kitchen w/granite slab counters, 7 outlets and over-sized bkfst nook. Recessed lighting, dimmer switches, 4 new skylights, 1945 SqFt, new roof, new refrigerator, new stove, and many more. Double door entry for ease of one level living. Light/bright thru-out; double pane windows. Floor-to-ceiling brick wood-burning firplc, wall-to wall windows. Manicured backyard/patio. Situated on a quiet street. Location backs up to mtns, no neighbors. Walking distance to Millbrae Meadows school, close 280 & 101, train & Bart station, bus stop, banks, shops, restaurants. Must SEE! Open house 3/19 and 3-26 from 2-4 pm. MUST SEE!","Shingle","04/07/2017","","Sewer - Public","1,945","California","Contingent","1233 Sleepy Hollow LN ","Residential","Public","15","Public","1960","94030","R10006"
"12","15","2","1","4","Central Forced Air","Santa Clara","$1,750,000","7","Moreland Elementary","464","Yes","Concrete Slab","2","Central Forced Air, Heating - 2+ Zones","Campbell Union High","473","Yes","37.285157","$1,649,000","03/24/2017","-121.985521","3,182","Sqft","ML81643805","No","2","403-61-007","Attached","No","San Jose","Res. Single Family","Residential","Located in the heart of the Silicon Valley! Enjoy quality finishes, elegant design and craftsmanship  throughout this newly remodeled home.  Conveniently located within walking distance to shopping and dining.  Light and Bright open floorplan, Kitchen opens to the family room ideal for entertaining, Separate Living Room with Gas Fireplace, Luxurious Master Suite and Bath, Sparkling hardwood floors, Updated baths,High Ceilings , Smart Home System, Inside laundry room, Low maintenance backyard, Front yard is maintained by the HOA","Tile","03/30/2017","$1,750,000","Sewer - Public","2,256","California","Sold","2067 Heather Glen DR ","Residential","Public","74","Public","2005","95130","R1"
"57","18","2","0","3","None","Santa Clara","$1,750,000","6","Cupertino Union","455","Yes","Concrete Perimeter","2","Central Forced Air","Fremont Union High","475","No","37.312949","$1,750,000","03/30/2017","-122.043401","6,600","Sqft","ML81644473","No","1","359-04-010","Attached, Gate/Door Opener","No","Cupertino","Res. Single Family","Residential","This beautifully updated home is located in the desirable Monta Vista neighborhood.Home features gourmet Kitchen with granite counters, tile floor & plenty of cabinetry. Large Dining area. Spacious Living Room features wood-burning fireplace, sliding door to the delightful backyard; large wood Deck is ideal for entertaining & social gathering. Recently refinished hardwood floor in the living room and hallway area. Both Bathrooms were just remodeled with new tile floor, new vanity & new shower/tub enclosures. You will love the 2 expanded Bedrooms, each with its own walk-in closet and skylight! Spacious Master Suite comes with 2 closets including a walk-in closet, skylight, sliding door to the serene backyard. Dual pane windows throughout. New paint interior and exterior.  Walk/Bike to 3 award-winning schools: Lincoln Elementary, Kennedy Middle and Monta Vista High. Jollyman Park is blocks away. Easy Access to 85 & 280.","Composition","04/05/2017","","Sewer - Public","1,722","California","Pending","7791 Lilac WAY ","Residential","Public, Solar","40","Public","1960","95014","R1"
"76","427","2","1","3","None","San Mateo","$1,750,000","7","San Mateo-Foster City Elementary","938","Yes","Other","2","Central Forced Air","San Mateo Union High","939","No","37.543819","$1,750,000","03/31/2017","-122.313126","8,030","Sqft","ML81644755","No","1","039-142-010-6","Attached, Carport, Gate/Door Opener","No","San Mateo","Res. Single Family","Residential","Exceptional San Mateo Home! This fully remodeled detached home has completed a full transformation. Professionally-designed modern home with a cheerful garden invites comfort and exudes modern elegance.  Imbued with awe-inspiring attention to detail thr-out from the maple hardwood & limestone floorings to the custom built fixtures. The chef's dream kitchen is clad with premium finishes including an eat-in bar island, professional-grade WOLFE, SUB ZERO & BOSCH appliances, & custom modern cabinetry. 3 beds, 2.5 baths. A huge mas. suite w/open beams high ceilings, master bath w/soapstone counters, soaking tub & walk-in closet. Both mas. suite & dining room w/French doors access to private patio area surrounded with lush bamboo. Nice Garden with maple trees, cherry blossom & fish pond. A side-by-side two car garage w/lots of storage space to complete this dream home for you. Large corner lot at great location near top ranked schools & with easy access to Hwy 92/101/280, shopping & dining.","Shingle","","","Sewer - Public, Sewer Connected","2,140","California","Active","347 23rd AVE ","Residential","Public","79","Public","1941","94403","Residential"
"69","16","2","1","4","Central Forced Air - Gas","Santa Clara","$1,750,000","7","Los Gatos Union Elementary","461","No","Foundation Pillars","0","Central Forced Air, Central Forced Air - Gas","Los Gatos-Saratoga Joint Union High","476","No","37.235354","$1,750,000","03/31/2017","-121.979145","6,100","Sqft","ML81644817","No","1","410-14-021","Assigned, Garage - None","Yes","Los Gatos","Res. Single Family","Residential","Location, Location, Location! The 1,830 Square foot Modern Farmhouse is perfectly located on a highly desirable street, walking distance to downtown. Recently remodeled, the home features a custom chef kitchen, at total of four bedrooms and two half baths, a separate living and family room with vaulted ceilings, skylights,a loft, Bamboo and Oak floors. A tranquil private backyard offers a garden setting with a heated salt water pool & spa and is ideal for outdoor entertaining and dining. The formal living room and separate dining room has oversized windows with views of the Los Gatos Mountains. Three spacious separate bedrooms are located off on the right wing of the home and one bedroom features double doors out to the deck. The Master Suite with Master bath is a private retreat, featuring custom plantation shutters and built in closets. A convenient laundry room is located downstairs. Award winning Los Gatos Schools! http://www.tourfactory.com/1748964","Composition","","","Community Sewer/Septic","1,831","California","Active","230 San Mateo AVE ","Residential","Individual Electric Meters, Individual Gas Meters","72","Public","1948","95030","R18"
"25","27","3","0","4","Central Forced Air, Central Forced Air - Gas","Alameda","$1,750,000","2","Fremont Unified","1,307","Yes","Crawl Space, Wood Frame","3","Central Forced Air - Gas","Fremont Unified","1,307","Yes","37.518159","$1,750,000","04/05/2017","-121.929695","5,014","Sqft","ML81645433","No","2","513-0719-076","Attached","No","Fremont","Res. Single Family","Residential","Welcome to the highly desirable lovely neighborhood of Cameron Hills in Fremont. This beautiful corner lot home features 4 bed 3 bath 2353 square feet with laminate flooring, stainless steel appliances, granite countertop, vaulted ceilings, Jack n Jill bathroom, wet bar and a hardscaped backyard with flagstone pavers. Conveniently located near all the top rated schools Mission Valley Elementary, Hopkins Junior High and Mission San Jose High.","Tile","","","Drainage - Public Storage, Sewer - Public","2,353","California","Active","43943 Rosemere DR ","Residential","Individual Gas Meters, Public","3","Public","1992","94539","residetial"
"6","10","4","1","4","Central Forced Air","Santa Clara","$1,749,950","0","Campbell Union Elementary","454","Yes","Concrete Perimeter and Slab","2","Central Forced Air","Campbell Union High","473","No","37.299036","$1,749,950","04/07/2017","-121.919090","7,011","Sqft","ML81645898","No","1","284-12-034","Attached","No","San Jose","Res. Single Family","Residential","This meticulously maintained single level home boasts a flowing and inviting floorplan with coffered ceilings. As you enter the stunning double door, you will be welcomed with a Formal Living and Dining Room.  Equipped with a generously sized kitchen leads into a spacious Great Room with built in wires ready for your surround sound. French doors leading to a well manicure backyard.  Ideal for year-round  entertainment and get-togethers .Constructed in 2011, this contemporary masterpiece, nestled in Willow Glen community features approx. 2874 Sq. Ft. of living space. Luxury upgrades including gleaming hardwood floors, chefâ€™s kitchen with stainless steel appliances, oversized granite island with a secondary prep sink, and plantation shutters thru-out.  Dual Pane windows, indoor laundry with cabinets and sink, dual zoned Heating, A/C gas fireplace,recessed lighting, walk in closets, full bath in every bedroom, finished garage.  Conveniently located to restaurants, shops, & trails.","Composition","","","Sewer Connected","2,874","California","Active","1465 Grace AVE ","Residential","Public","62","Public","2011","95125","R1"
