"X..Lot.SqFt","Age","Area..","Area.Name","Baths.Full","Baths.Half","Beds.Total","County","DOM","HOA.Fee","List.Price","Listing.Date","Lot.Size","MLS.Number","Parcel.Number","Postal.City","Price.SqFt","Sale.Date","Sale.Price","Sq.Ft.Total","Status","Street.Address","Year.Built","Zip.Code","Zoning","Elementary.School","Elementary.School.District","Elementary.School.District.Code","Elementary.School.ID","Middle.School","Middle.School.ID","High.School","High.School.District","High.School.District.ID","High.School.ID","propertyAddresses","latitude","longitude","latLongConf"
"$ 140.45",15,"1","Morgan Hill / Gilroy / San Martin",4,1,4,"Santa Clara",1,75,"$1,699,500","04/11/2017","12,100","ML81646410","728-42-016","Morgan Hill","386.60","","","4,396","Active","1503 Evening Star Court",2002,95037,"R1","","Morgan Hill Unified","480","","","","","Morgan Hill Unified","480","","1503 Evening Star Court, Morgan Hill, CA, 95037",37.160744,-121.646552,1
"$ 40.65",11,"652","Sun Valley",3,0,4,"San Mateo",14,NA,"$1,699,000","02/27/2017","41,800","ML81640182","023-311-280","Pacifica","596.14","03/12/2017","","2,850","Pending","51 Desvio Court",2006,94044,"R10006","","Pacifica","928","","","","","Cabrillo Unified","924","","51 Desvio Court, Pacifica, CA, 94044",37.584775,-122.48387,1
"$ 208.70",62,"16","Los Gatos/Monte Sereno",3,0,4,"Santa Clara",20,NA,"$1,699,000","03/21/2017","8,141","ML81643216","523-23-004","Los Gatos","918.38","04/09/2017","","1,850","Contingent","15710 El Gato Lane",1955,95032,"R1-8","Alta Vista Elementary","Union Elementary","471","214","Union Middle","229","Leigh High","Campbell Union High","473","240","15710 El Gato Lane, Los Gatos, CA, 95032",37.240397,-121.947761,1
"$ 283.17",96,"466","Burlinhome / Easton Add #2 / #3 / #5",1,0,2,"San Mateo",13,NA,"$1,699,000","03/29/2017","6,000","ML81644312","027-151-120","Burlingame","1,296.95","04/11/2017","","1,310","Pending","1341 Vancouver Avenue",1921,94010,"R10006","","Burlingame Elementary","923","","","","","San Mateo Union High","939","","1341 Vancouver Avenue, Burlingame, CA, 94010",37.58207,-122.373309,1
"$ 177.09",79,"10","Willow Glen",3,1,4,"Santa Clara",12,NA,"$1,699,000","03/29/2017","9,594","ML81644357","264-55-029","San Jose","614.91","04/09/2017","","2,763","Contingent","1047 Clintonia Avenue",1938,95125,"R1-8","Willow Glen Elementary","San Jose Unified","482","380","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1047 Clintonia Avenue, San Jose, CA, 95125",37.313674,-121.899077,1
"$ 145.21",42,"13","Almaden Valley",5,0,5,"Santa Clara",2,33,"$1,699,000","04/10/2017","11,700","ML81646096","701-44-008","San Jose","482.94","","","3,518","Active","7119 Brooktree Way",1975,95120,"R1-5","Graystone Elementary","San Jose Unified","482","366","Bret Harte Middle","339","Leland High","San Jose Unified","482","346","7119 Brooktree Way, San Jose, CA, 95120",37.208735,-121.835555,1
"$ 169.89",66,"17","Saratoga",2,0,3,"Santa Clara",9,NA,"$1,698,888","03/27/2017","10,000","ML81644114","389-18-022","Saratoga","1,035.28","04/05/2017","","1,641","Pending","13239 Berwick Street",1951,95070,"R110","Marshall Lane Elementary","Campbell Union Elementary","454","59","Rolling Hills Middle","63","Westmont High","Campbell Union High","473","242","13239 Berwick Street, Saratoga, CA, 95070",37.274538,-121.996375,1
"$ 350.97",29,"336","Cordilleras Heights Etc.",2,1,3,"San Mateo",28,NA,"$1,698,000","03/13/2017","4,838","ML81642065","057-171-050","Redwood City","836.45","04/09/2017","","2,030","Pending","3452 Oak Knoll Drive",1988,94062,"RH0S18","Roy Cloud Elementary","Redwood City Elementary","935","622","Roy Cloud School","37,466","Woodside High","Sequoia Union High","940","684","3452 Oak Knoll Drive, Redwood City, CA, 94062",37.465174,-122.262144,0.878
"$ 188.67",19,"3","Evergreen",3,1,4,"Santa Clara",90,125,"$1,698,000","03/30/2017","9,000","ML81644619","679-21-022","San Jose","487.09","04/05/2017","","3,486","Contingent","5206 Nice Court",1998,95138,"R1","Silver Oak Elementary","Evergreen Elementary","456","354","Chaboya Middle","352","Silver Creek High","East Side Union High","474","253","5206 Nice Court, San Jose, CA, 95138",37.277817,-121.779202,1
"$ 199.76",82,"352","El Sereno Corte Etc.",2,1,3,"San Mateo",11,NA,"$1,698,000","03/31/2017","8,500","ML81644742","051-374-050","San Carlos","810.50","04/11/2017","","2,095","Pending","1310 Saint Francis Way",1935,94070,"R10006","White Oaks Elementary","San Carlos Elementary","937","680","Central Middle","619","","Sequoia Union High","940","","1310 Saint Francis Way, San Carlos, CA, 94070",37.493673,-122.247302,1
"$ 169.80",61,"434","Foothill Terrace Etc.",2,0,3,"San Mateo",8,NA,"$1,698,000","04/03/2017","10,000","ML81645082","034-352-300","San Mateo","932.97","04/11/2017","","1,820","Pending","1403 Yew Street",1956,94402,"R10006","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","1403 Yew Street, San Mateo, CA, 94402",37.546421,-122.326788,0.878
"$ 281.13",0,"621","Highlands El Granada",3,0,4,"San Mateo",4,NA,"$1,698,000","04/05/2017","6,040","ML81645588","047-143-190","El Granada","663.02","04/09/2017","","2,561","Contingent","224 Del Monte Road",2017,94019,"R100","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","224 Del Monte Road, El Granada, CA, 94019",37.505094,-122.463662,0.835
"$ 283.00",58,"18","Cupertino",2,0,4,"Santa Clara",2,NA,"$1,698,000","04/10/2017","6,000","ML81646118","372-11-017","San Jose","1,144.98","","","1,483","Active","1174 Arlington Lane",1959,95129,"R1-8","R. I. Meyerholz Elementary","Cupertino Union","455","87","Joaquin Miller Middle","88","Lynbrook High","Fremont Union High","475","259","1174 Arlington Lane, San Jose, CA, 95129",37.303414,-122.026248,1
"$ 647.26",0,"16","Los Gatos/Monte Sereno",3,0,4,"Santa Clara",41,180,"$1,697,115","03/02/2017","2,622","ML81640847","40608023","Los Gatos","783.89","","","2,165","Active","345 Market Street",2017,95032,"SFR","Capri Elementary","Campbell Union Elementary","454","51","Rolling Hills Middle","63","Westmont High","Campbell Union High","473","242","345 Market Street, Los Gatos, CA, 95032",36.984345,-122.017239,0.805
"$ 339.00",63,"308","Willows / O'Conner Area",2,0,3,"San Mateo",24,NA,"$1,695,000","03/18/2017","5,000","ML81642984","063-142-050","Menlo Park","1,029.77","04/10/2017","","1,646","Contingent","2162 Menalto Avenue",1954,94025,"R10008","Laurel Elementary","Menlo Park City Elementary","931","653","Hillview Middle","642","Menlo-Atherton High","Sequoia Union High","940","658","2162 Menalto Avenue, Menlo Park, CA, 94025",37.465406,-122.151048,1
"$ 753.33",108,"999","Other Area",2,0,4,"San Francisco",19,NA,"$1,695,000","03/22/2017","2,250","ML81643466","5685-016","San Francisco","1,027.27","04/09/2017","","1,650","Pending","365 Banks Street",1909,94110,"RH1","","San Francisco Unified","1,863","","","","","San Francisco Unified","1,863","","365 Banks Street, San Francisco, CA, 94110",37.738632,-122.412628,1
"$ 240.43",55,"362","Belmont Country Club Etc.",2,1,4,"San Mateo",5,NA,"$1,695,000","04/07/2017","7,050","ML81645830","044-112-330","Belmont","822.82","","","2,060","Active","1513 Ridge Road",1962,94002,"R10006","Central Elementary","Belmont-Redwood Shores Elementary","921","618","Ralston Intermediate","669","Carlmont High","Sequoia Union High","940","617","1513 Ridge Road, Belmont, CA, 94002",37.523631,-122.289924,1
"$ 215.42",45,"13","Almaden Valley",3,1,5,"Santa Clara",7,NA,"$1,688,888","03/21/2017","7,840","ML81642461","577-31-009","San Jose","485.31","03/28/2017","","3,480","Pending","1256 Nancarrow Way",1972,95120,"R1-5","Los Alamitos Elementary","San Jose Unified","482","369","Castillero Middle","338","Pioneer High","San Jose Unified","482","348","1256 Nancarrow Way, San Jose, CA, 95120",37.224899,-121.879499,1
"$ 317.89",21,"381","Shearwater",2,1,4,"San Mateo",6,172,"$1,688,000","03/31/2017","5,310","ML81644751","095-410-070","Redwood City","907.53","04/06/2017","","1,860","Pending","554 Osprey Drive",1996,94065,"R20000","","Belmont-Redwood Shores Elementary","921","","","","","Sequoia Union High","940","","554 Osprey Drive, Redwood City, CA, 94065",37.539581,-122.236172,1
"$ 229.66",51,"19","Sunnyvale",2,0,5,"Santa Clara",5,NA,"$1,688,000","04/07/2017","7,350","ML81645892","213-08-048","Sunnyvale","793.61","04/11/2017","","2,127","Pending","1053 Azalea Drive",1966,94086,"R0","","Sunnyvale","470","","","","","Fremont Union High","475","","1053 Azalea Drive, Sunnyvale, CA, 94086",37.368262,-122.004857,1
"$ 65.81",51,"471","Burlingame Hills / Skyline Terrace",4,0,4,"San Mateo",2,NA,"$1,688,000","04/10/2017","25,650","ML81646081","027-221-180","Burlingame","721.06","","","2,341","Active","2750 El Prado Road",1966,94010,"R10006","","San Mateo-Foster City Elementary","938","","Burlingame Intermediate","675","Burlingame High","San Mateo Union High","939","615","2750 El Prado Road, Burlingame, CA, 94010",37.574475,-122.386924,0.902
"$ 266.67",62,"19","Sunnyvale",2,0,3,"Santa Clara",9,NA,"$1,499,000","03/06/2017","6,300","ML81641136","198-19-046","Sunnyvale","1,320.75","03/15/2017","$1,680,000","1,272","Sold","1169 Susan Way",1955,94087,"R0","Cherry Chase Elementary","Sunnyvale","470","202","Sunnyvale Middle","210","Homestead High","Fremont Union High","475","258","1169 Susan Way, Sunnyvale, CA, 94087",37.367837,-122.056801,1
"$ 5.77",37,"17","Saratoga",2,1,3,"Santa Clara",7,NA,"$1,678,000","04/05/2017","290,999","ML81645500","517-30-009","Saratoga","622.17","","","2,697","Active","17017 BOHLMAN Road",1980,95070,"HS-D1","Saratoga Elementary","Saratoga Union Elementary","469","199","Redwood Middle","198","Saratoga High","Los Gatos-Saratoga Joint Union High","476","264","17017 BOHLMAN Road, Saratoga, CA, 95070",37.220181,-122.034975,0.878
"$ 10.39",12,"642","East of Sunshine Valley Rd.",2,1,4,"San Mateo",52,40,"$1,998,000","01/30/2017","161,172","ML81637183","036-225-060","Montara","697.92","03/23/2017","$1,675,000","2,400","Sold","1200 East Montara Boulevard",2005,94037,"RM0000","Farallone View Elementary","Cabrillo Unified","924","629","Manuel F. Cunha Intermediate","654","Half Moon Bay High","Cabrillo Unified","924","1,035","1200 East Montara Boulevard, Montara, CA, 94037",37.539101,-122.50154,1
"$ 180.75",0,"4","Alum Rock",4,0,5,"Santa Clara",6,NA,"$1,675,000","04/06/2017","9,267","ML81645787","612-68-012","San Jose","469.85","","","3,565","Active","799 Rosemar Court",2017,95127,"R1","","Alum Rock Union Elementary","451","","","","","East Side Union High","474","","799 Rosemar Court, San Jose, CA, 95127",37.371041,-121.802429,0.805
"$ 392.48",32,"201","Sylvan Dale",3,0,3,"Santa Clara",0,250,"$1,670,000","04/12/2017","4,255","ML81646445","198-06-090","Mountain View","825.91","","","2,022","Active","1395 Cuernavaca Circulo",1985,94040,"P(30)","Frank L. Huff Elementary","Mountain View Whisman","465","164","Isaac Newton Graham Middle","163","Mountain View High","Mountain View-Los Altos Union High","477","266","1395 Cuernavaca Circulo, Mountain View, CA, 94040",37.372419,-122.06104,0.809
"$ 231.79",15,"603","Ocean Colony",3,0,4,"San Mateo",132,108,"$1,700,000","10/22/2016","7,200","ML81629512","066-490-140","Half Moon Bay","456.01","03/01/2017","$1,669,000","3,660","Sold","81 Turnberry Road",2001,94019,"pud","Alvin S. Hatch Elementary","Cabrillo Unified","924","601","Manuel F. Cunha Intermediate","654","Half Moon Bay High","Cabrillo Unified","924","1,035","81 Turnberry Road, Half Moon Bay, CA, 94019",37.437772,-122.434696,1
"$ 155.84",41,"27","Alameda County",2,1,4,"Alameda",11,NA,"$1,599,950","02/27/2017","10,620","ML81640307","519-1611-023","Fremont","660.15","03/08/2017","$1,655,000","2,507","Sold","46953 Zapotec Drive",1976,94539,"R1","Fred E. Weibel Elementary","Fremont Unified","1,307","26,919","John M. Horner Junior High","26,905","Irvington High","Fremont Unified","1,307","26,872","46953 Zapotec Drive, Fremont, CA, 94539",37.493258,-121.914316,1
"$ 112.24",63,"19","Sunnyvale",2,1,4,"Santa Clara",14,NA,"$1,698,000","03/01/2017","14,700","ML81640500","198-42-021","Sunnyvale","946.64","03/14/2017","$1,650,000","1,743","Sold","1025 E Cardinal Drive",1954,94087,"R0","Cherry Chase Elementary","Sunnyvale","470","202","Sunnyvale Middle","210","Homestead High","Fremont Union High","475","258","1025 E Cardinal Drive, Sunnyvale, CA, 94087",37.363557,-122.061257,0.878
"$ 280.14",61,"361","Haskins Estates Etc.",2,0,4,"San Mateo",26,NA,"$1,699,000","03/01/2017","5,890","ML81640694","044-012-420","Belmont","785.71","03/18/2017","$1,650,000","2,100","Sold","2103 Cipriani Boulevard",1956,94002,"R10006","Cipriani Elementary","Belmont-Redwood Shores Elementary","921","605","Ralston Intermediate","669","Carlmont High","Sequoia Union High","940","617","2103 Cipriani Boulevard, Belmont, CA, 94002",37.522293,-122.300741,1
"$ 193.66",53,"15","Campbell",3,1,5,"Santa Clara",27,NA,"$1,650,000","03/09/2017","8,520","ML81641670","279-13-011","San Jose","511.47","04/04/2017","","3,226","Contingent","1278 N Central Avenue",1964,95128,"R1-8","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","1278 N Central Avenue, San Jose, CA, 95128",37.305904,-121.943341,1
"$ 137.50",54,"607","Alsace Lorraine",3,0,4,"San Mateo",5,NA,"$1,650,000","04/07/2017","12,000","ML81645930","056-119-070","Half Moon Bay","416.67","","","3,960","Active","705 Alsace Lorraine Avenue",1963,94019,"R10006","","Cabrillo Unified","924","","","","","Cabrillo Unified","924","","705 Alsace Lorraine Avenue, Half Moon Bay, CA, 94019",37.460554,-122.438711,0.863
"$ 74.60",82,"15","Campbell",3,0,6,"Santa Clara",2,NA,"$1,650,000","04/10/2017","22,119","ML81646252","406-16-015","Campbell","604.84","","","2,728","Active","1126 Steinway Avenue",1935,95008,"R-1-1","Capri Elementary","Campbell Union Elementary","454","51","Rolling Hills Middle","63","Westmont High","Campbell Union High","473","242","1126 Steinway Avenue, Campbell, CA, 95008",37.267327,-121.96925,1
"$ 213.45",38,"27","Alameda County",2,1,4,"Alameda",0,NA,"$1,650,000","04/12/2017","7,730","ML81646549","519-1679-021","Fremont","593.31","","","2,781","Active","1380 Grosventres Court",1979,94539,"r","Fred E. Weibel Elementary","Fremont Unified","1,307","26,919","John M. Horner Junior High","26,905","Irvington High","Fremont Unified","1,307","26,872","1380 Grosventres Court, Fremont, CA, 94539",37.50376,-121.929562,1
"$ 267.86",29,"27","Alameda County",3,0,4,"Alameda",13,NA,"$1,649,999","03/28/2017","6,160","ML81644236","513-0475-070","Fremont","617.05","04/10/2017","","2,674","Pending","42697 Scofield Drive",1988,94539,"R","","Fremont Unified","1,307","","","","","Fremont Unified","1,307","","42697 Scofield Drive, Fremont, CA, 94539",37.536588,-121.928673,1
"$ 35.07",29,"1","Morgan Hill / Gilroy / San Martin",5,0,4,"Santa Clara",1,NA,"$1,649,950","04/11/2017","47,044","ML81646285","764-30-033","Morgan Hill","400.38","","","4,121","Active","1215 Llagas Road",1988,95037,"R1","","Morgan Hill Unified","480","","","","","Morgan Hill Unified","480","","1215 Llagas Road, Morgan Hill, CA, 95037",37.134305,-121.681526,0.878
"$ 175.61",60,"333","Central Park Etc.",2,0,4,"San Mateo",11,NA,"$1,649,000","03/31/2017","9,390","ML81644882","059-214-310","Redwood City","1,043.67","04/11/2017","","1,580","Pending","1461 Bonnie Court",1957,94061,"R10000","","Redwood City Elementary","935","","","","","Sequoia Union High","940","","1461 Bonnie Court, Redwood City, CA, 94061",37.463681,-122.234164,1
"$ 248.42",78,"10","Willow Glen",3,0,4,"Santa Clara",41,NA,"$1,648,000","03/02/2017","6,634","ML81640726","264-60-034","San Jose","740.67","","","2,225","Active","1038 Camino Pablo",1939,95125,"R1-8","Willow Glen Elementary","San Jose Unified","482","380","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1038 Camino Pablo, San Jose, CA, 95125",37.30727,-121.908521,1
"$ 326.40",69,"309","Flood Park Area",2,0,2,"San Mateo",13,NA,"$1,648,000","03/26/2017","5,049","ML81643964","055-292-110","Menlo Park","1,471.43","04/07/2017","","1,120","Pending","6 Greenwood Place",1948,94025,"R10008","Encinal Elementary","Menlo Park City Elementary","931","627","Hillview Middle","642","Menlo-Atherton High","Sequoia Union High","940","658","6 Greenwood Place, Menlo Park, CA, 94025",37.477428,-122.176189,1
"$ 151.47",61,"433","The Highlands / Ticonderoga",2,0,4,"San Mateo",5,NA,"$1,648,000","04/07/2017","10,880","ML81645832","041-152-370","San Mateo","762.96","","","2,160","Active","40 Powhatan Place",1956,94402,"R10008","Highlands Elementary","San Mateo-Foster City Elementary","938","640","Borel Middle","610","Aragon High","San Mateo Union High","939","602","40 Powhatan Place, San Mateo, CA, 94402",37.516535,-122.343243,1
"$ 156.97",52,"10","Willow Glen",2,1,4,"Santa Clara",9,NA,"$1,535,000","03/13/2017","10,480","ML81642084","442-42-068","San Jose","698.22","03/22/2017","$1,645,000","2,356","Sold","1721 Husted Avenue",1965,95124,"R1-8","Schallenberger Elementary","San Jose Unified","482","375","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1721 Husted Avenue, San Jose, CA, 95124",37.274077,-121.909451,1
"$ 240.05",12,"10","Willow Glen",3,0,4,"Santa Clara",25,NA,"$1,729,000","01/30/2017","6,832","ML81636397","439-22-062","San Jose","616.54","02/22/2017","$1,640,000","2,660","Sold","1978 Coastland Avenue",2005,95125,"R1-8","Booksin Elementary","San Jose Unified","482","358","Willow Glen Middle","343","Willow Glen High","San Jose Unified","482","350","1978 Coastland Avenue, San Jose, CA, 95125",37.297296,-121.884871,1
"$ 275.82",0,"999","Other Area",3,1,5,"Alameda",8,154,"$1,638,371","04/04/2017","5,940","ML81645353","5430476001A","Fremont","541.25","","","3,027","Active","33613 Pack Horse Street",2017,94555,"R","Patterson Elementary","Fremont Unified","1,307","26,898","Thornton Junior High","26,906","American High","Fremont Unified","1,307","26,867","33613 Pack Horse Street, Fremont, CA, 94555",37.582132,-122.023113,0.452
"$ 231.68",48,"430","Laurelwood Etc.",2,1,3,"San Mateo",9,NA,"$1,638,000","03/29/2017","7,070","ML81644290","041-371-160","San Mateo","795.15","04/07/2017","","2,060","Pending","1655 Oakwood Drive",1969,94403,"R10006","","San Mateo-Foster City Elementary","938","","","","","San Mateo Union High","939","","1655 Oakwood Drive, San Mateo, CA, 94403",37.527401,-122.330406,1
"$ 271.48",54,"8","Santa Clara",2,1,3,"Santa Clara",8,NA,"$1,428,888","03/01/2017","6,000","ML81640502","290-42-020","Santa Clara","803.60","03/08/2017","$1,628,888","2,027","Sold","2105 Denise Drive",1963,95050,"R1","C. W. Haman Elementary","Santa Clara Unified","483","389","Buchser Middle","406","Santa Clara High","Santa Clara Unified","483","408","2105 Denise Drive, Santa Clara, CA, 95050",37.348584,-121.961619,1
"$ 181.20",54,"15","Campbell",2,1,4,"Santa Clara",50,NA,"$1,679,000","01/17/2017","8,968","ML81635775","288-15-042","Campbell","554.04","03/07/2017","$1,625,000","2,933","Sold","1279 E Campbell Avenue",1963,95008,"R-1-6","Blackford Elementary","Campbell Union Elementary","454","49","Campbell Middle","50","Del Mar High","Campbell Union High","473","239","1279 E Campbell Avenue, Campbell, CA, 95008",37.286828,-121.926674,1
"$ 227.27",27,"603","Ocean Colony",2,1,5,"San Mateo",4,109,"$1,625,000","04/08/2017","7,150","ML81646024","066-410-500","Half Moon Bay","511.01","","","3,180","Active","376 Eagle Trace Drive",1990,94019,"PUD000","Alvin S. Hatch Elementary","Cabrillo Unified","924","601","Manuel F. Cunha Intermediate","654","Half Moon Bay High","Cabrillo Unified","924","1,035","376 Eagle Trace Drive, Half Moon Bay, CA, 94019",37.436511,-122.428233,0.979
"$ 267.86",62,"203","North Shoreline",3,0,4,"Santa Clara",17,NA,"$1,598,000","02/16/2017","6,048","ML81639135","153-11-009","Mountain View","871.44","03/05/2017","$1,620,000","1,859","Sold","710 Telford Avenue",1955,94043,"R1","Theuerkauf Elementary","Mountain View Whisman","465","1,085","Crittenden Middle","1,083","Los Altos High","Mountain View-Los Altos Union High","477","265","710 Telford Avenue, Mountain View, CA, 94043",37.412425,-122.086237,1
"$ 183.81",53,"16","Los Gatos/Monte Sereno",2,1,4,"Santa Clara",5,NA,"$1,499,950","02/28/2017","8,732","ML81640405","407-31-037","Los Gatos","897.65","03/05/2017","$1,605,000","1,788","Sold","224 More Avenue",1964,95032,"R18","Marshall Lane Elementary","Campbell Union Elementary","454","59","Rolling Hills Middle","63","Westmont High","Campbell Union High","473","242","224 More Avenue, Los Gatos, CA, 95032",37.261803,-121.984759,1
"$ 168.35",66,"15","Campbell",4,0,4,"Santa Clara",17,NA,"$1,688,000","01/17/2017","9,504","ML81635773","277-35-020","San Jose","539.45","02/03/2017","$1,600,000","2,966","Sold","394 S Genevieve Lane",1951,95128,"R1-8","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","394 S Genevieve Lane, San Jose, CA, 95128",37.320937,-121.942115,1
"$ 160.00",65,"15","Campbell",3,1,4,"Santa Clara",33,NA,"$1,688,000","01/24/2017","10,000","ML81635755","279-22-046","Campbell","679.98","03/04/2017","$1,600,000","2,353","Sold","900 Harrison Avenue",1952,95008,"R-1-6","","Campbell Union Elementary","454","","","","","Campbell Union High","473","","900 Harrison Avenue, Campbell, CA, 95008",37.300137,-121.942401,1
"$ 266.67",53,"8","Santa Clara",3,0,4,"Santa Clara",19,NA,"$1,598,880","02/27/2017","6,000","ML81640290","290-44-021","Santa Clara","838.14","03/18/2017","$1,600,000","1,909","Sold","953 Perreira Drive",1964,95051,"R1","","Santa Clara Unified","483","","","","","Santa Clara Unified","483","","953 Perreira Drive, Santa Clara, CA, 95051",37.343299,-121.98828,1
"$ 266.05",60,"8","Santa Clara",2,0,4,"Santa Clara",7,NA,"$1,250,000","03/01/2017","6,014","ML81640542","296-13-004","Santa Clara","1,298.70","03/08/2017","$1,600,000","1,232","Sold","160 Gilbert Avenue",1957,95051,"R1","Dwight D. Eisenhower Elementary","Cupertino Union","455","75","Warren E. Hyde Middle","81","Cupertino High","Fremont Union High","475","256","160 Gilbert Avenue, Santa Clara, CA, 95051",37.326518,-121.984891,1
"$ 222.22",30,"361","Haskins Estates Etc.",3,0,4,"San Mateo",6,NA,"$1,600,000","04/06/2017","7,200","ML81645723","043-181-590","Belmont","800.00","","","2,000","Active","2917 San Juan Boulevard",1987,94002,"R1000B","Cipriani Elementary","Belmont-Redwood Shores Elementary","921","605","Ralston Intermediate","669","Carlmont High","Sequoia Union High","940","617","2917 San Juan Boulevard, Belmont, CA, 94002",37.515212,-122.310842,0.878
"$ 347.83",41,"390","FC- Nbrhood#7 - Sea Colony Etc.",2,1,3,"San Mateo",5,175,"$1,600,000","04/07/2017","4,600","ML81645903","094-792-020","Foster City","796.02","","","2,010","Active","596 Capri Lane",1976,94404,"R100PD","Foster City Elementary","San Mateo-Foster City Elementary","938","631","Bowditch Middle","611","San Mateo High","San Mateo Union High","939","672","596 Capri Lane, Foster City, CA, 94404",37.540443,-122.265019,1
"$ 141.71",61,"10","Willow Glen",2,1,3,"Santa Clara",28,NA,"$1,599,000","03/15/2017","11,284","ML81642398","288-21-017","San Jose","761.43","","","2,100","Active","1942 Campbell Avenue",1956,95125,"R1-10","Blackford Elementary","Campbell Union Elementary","454","49","Campbell Middle","50","Del Mar High","Campbell Union High","473","239","1942 Campbell Avenue, San Jose, CA, 95125",37.286647,-121.919402,0.958
"$ 266.50",110,"466","Burlinhome / Easton Add #2 / #3 / #5",1,0,3,"San Mateo",13,NA,"$1,599,000","03/24/2017","6,000","ML81643831","026-058-070","Burlingame","1,051.97","04/06/2017","","1,520","Pending","1357 Bernal Avenue",1907,94010,"R10006","","Burlingame Elementary","923","","Burlingame Intermediate","675","","San Mateo Union High","939","","1357 Bernal Avenue, Burlingame, CA, 94010",37.583171,-122.373386,1
"$ 202.41",70,"308","Willows / O'Conner Area",1,0,2,"San Mateo",15,NA,"$1,599,000","03/27/2017","7,900","ML81644096","062-343-040","Menlo Park","1,113.51","04/11/2017","","1,436","Pending","422 Concord Drive",1947,94025,"R10008","Laurel Elementary","Menlo Park City Elementary","931","653","Hillview Middle","642","Menlo-Atherton High","Sequoia Union High","940","658","422 Concord Drive, Menlo Park, CA, 94025",37.457881,-122.157731,1
"$ 279.94",69,"10","Willow Glen",3,0,4,"Santa Clara",9,NA,"$1,599,000","03/29/2017","5,712","ML81644324","439-20-092","San Jose","817.48","04/07/2017","","1,956","Pending","1823 Jonathan Avenue",1948,95125,"R1-8","Booksin Elementary","San Jose Unified","482","358","","","","San Jose Unified","482","","1823 Jonathan Avenue, San Jose, CA, 95125",37.299098,-121.887393,1
"$ 160.16",43,"13","Almaden Valley",2,1,4,"Santa Clara",6,NA,"$1,599,000","03/31/2017","9,984","ML81644718","583-29-023","San Jose","589.38","04/06/2017","","2,713","Pending","1129 Mcintosh Creek Drive",1974,95120,"R1-5P","Williams Elementary","San Jose Unified","482","379","Bret Harte Middle","339","Leland High","San Jose Unified","482","346","1129 Mcintosh Creek Drive, San Jose, CA, 95120",37.205374,-121.844394,1
"$ 228.43",56,"18","Cupertino",2,0,4,"Santa Clara",4,NA,"$1,599,000","04/08/2017","7,000","ML81646006","362-27-003","Cupertino","950.09","","","1,683","Active","7551 Squirewood Way",1961,95014,"R1","","Cupertino Union","455","","","","","Fremont Union High","475","","7551 Squirewood Way, Cupertino, CA, 95014",37.305734,-122.039464,1
"$ 109.26",67,"15","Campbell",2,1,3,"Santa Clara",27,NA,"$1,598,000","03/09/2017","14,625","ML81641658","288-05-031","San Jose","599.62","04/04/2017","","2,665","Contingent","1919 Dry Creek Road",1950,95124,"R1","Bagby Elementary","Cambrian Elementary","453","41","Price Charter Middle","46","Branham High","Campbell Union High","473","237","1919 Dry Creek Road, San Jose, CA, 95124",37.280985,-121.928729,0.878
"$ 1,598,000.00",54,"301","Sharon Heights / Stanford Hills",2,0,2,"San Mateo",14,NA,"$1,598,000","03/27/2017","1","ML81643702","112-360-010","Menlo Park","1,238.76","","","1,290","Active","2323 Blueridge Avenue",1963,94025,"R20000","","Las Lomitas Elementary","930","","","","","Sequoia Union High","940","","2323 Blueridge Avenue, Menlo Park, CA, 94025",37.425418,-122.201673,1
"$ 228.29",20,"19","Sunnyvale",3,0,5,"Santa Clara",7,NA,"$1,598,000","03/29/2017","7,000","ML81644332","204-40-055","Sunnyvale","633.37","04/05/2017","","2,523","Pending","350 N Bayview Avenue",1997,94085,"R1","","Sunnyvale","470","","","","","Fremont Union High","475","","350 N Bayview Avenue, Sunnyvale, CA, 94085",37.383745,-122.023495,1
"$ 234.14",61,"332","Horgan Ranch Etc.",2,1,3,"San Mateo",7,NA,"$1,598,000","03/30/2017","6,825","ML81644602","059-276-010","Redwood City","799.00","04/06/2017","","2,000","Pending","500 Rutherford Avenue",1956,94061,"R10006","","Redwood City Elementary","935","","","","","Sequoia Union High","940","","500 Rutherford Avenue, Redwood City, CA, 94061",37.453539,-122.219813,1
"$ 245.85",110,"207","Downtown Mountain View",3,0,3,"Santa Clara",7,NA,"$1,598,000","04/05/2017","6,500","ML81645542","154-10-050","Mountain View","1,025.02","04/12/2017","","1,559","Pending","336 Pettis Avenue",1907,94041,"R1","Benjamin Bubb Elementary","Mountain View Whisman","465","161","Isaac Newton Graham Middle","163","Mountain View High","Mountain View-Los Altos Union High","477","266","336 Pettis Avenue, Mountain View, CA, 94041",37.395147,-122.087819,1
